Wales Raindays>=1.0mm
Areal series, starting from 1961
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/01/2020.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
2001   13.5   14.4   16.9   16.9    8.3    8.0   10.7   16.4   13.1   19.6   15.1   12.2    49.2   42.0   35.1   47.8   165.1
2002   18.8   20.4   12.3   12.7   16.4   13.0   11.6   10.3    5.1   17.7   22.4   17.4    51.4   41.4   34.9   45.1   178.0
2003   15.9   10.1    9.7   10.0   17.1   11.7   12.9    3.9    9.5   12.9   16.7   15.3    43.4   36.9   28.5   39.1   145.7
2004   21.2   10.8   13.7   12.5    8.6   10.4   13.2   15.2   13.8   20.7   14.0   14.6    47.2   34.8   38.8   48.5   168.6
2005   15.9   10.5   12.3   16.2   11.5   10.5   10.3    9.6   14.2   18.0   15.6   12.1    41.0   40.0   30.4   47.8   156.7
2006    8.9   10.4   19.3   12.0   18.1    6.6    7.3   14.4   12.3   19.3   20.1   19.6    31.5   49.3   28.3   51.8   168.3
2007   19.9   17.9   12.3    3.1   15.7   16.3   20.6   10.2   11.0    9.2   14.9   15.2    57.3   31.1   47.1   35.1   166.3
2008   21.6    9.1   18.6   16.8   10.6   11.2   15.5   19.9   14.0   18.9   16.4   12.6    45.9   46.0   46.6   49.4   185.4
2009   15.5    8.6   12.3   13.1   15.2    8.5   22.3   15.7    6.0   14.1   26.1   18.9    36.7   40.6   46.5   46.2   176.3
2010   14.8   12.8   12.6    7.3   10.4    5.1   16.2   13.4   14.6   15.1   17.8    8.7    46.4   30.4   34.7   47.5   148.8
2011   14.8   17.5    6.6    6.0   15.5   13.7   11.2   13.9   15.8   17.4   14.7   24.8    40.9   28.0   38.7   47.9   171.6
2012   16.1    9.5    6.3   19.4    9.7   19.4   16.5   19.8   14.6   18.9   17.4   23.2    50.5   35.4   55.6   50.9   190.8
2013   18.5    9.5   10.6   10.4   13.0   11.0    7.6   10.8   11.7   21.2   16.1   20.4    51.2   33.9   29.4   49.0   160.7
2014   25.8   23.9   12.3   11.7   16.4    9.8    9.4   18.2    3.8   20.8   16.3   18.5    70.2   40.4   37.4   40.9   186.9
2015   21.7   12.3   13.7    7.0   16.8    7.3   18.4   16.6    9.8   10.4   25.1   28.0    52.4   37.5   42.3   45.3   186.9
2016   23.3   15.7   12.0   15.5   11.7   14.8   14.0   12.0   16.9    7.1   13.8   13.4    67.0   39.2   40.7   37.8   170.2
2017   13.8   15.7   17.6    6.1   11.3   13.7   15.9   14.6   20.3   14.1   20.0   21.8    42.9   35.0   44.2   54.4   185.0
2018   22.2   12.6   17.5   15.1    9.1    5.0    7.9   13.1   14.6   10.3   15.1   18.9    56.7   41.7   26.0   40.1   161.5
2019   12.7   12.1   17.7   11.4    8.7   15.4    7.8   17.1   17.0   20.4   20.6   19.3    43.7   37.8   40.2   58.1   180.2
